user_id,date_account_created,gender,modified_age,signup_method,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination,Total_time_secs
07jd9bv9zg,02/09/2014,-unknown-,36.5,basic,en,direct,direct,linked,Web,Windows Desktop,Chrome,NDF,267
07mba72zco,01/13/2014,FEMALE,36.5,facebook,en,api,other,untracked,Moweb,Mac Desktop,Chrome,NDF,411779
07mq2l3bkt,01/20/2014,FEMALE,28,facebook,en,api,other,untracked,Android,Other/Unknown,-unknown-,US,1960489
07uj7rw2h7,01/02/2014,-unknown-,31,basic,en,direct,direct,linked,Web,Windows Desktop,Chrome,FR,1983658
07unuo91fa,02/09/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Web,Windows Desktop,Chrome,other,1972079
07x9tjt5ro,01/23/2014,-unknown-,29,basic,en,sem-brand,google,omg,Web,Mac Desktop,Firefox,NDF,1080463
083lc8hhu5,01/30/2014,-unknown-,36.5,basic,en,seo,google,linked,Web,Windows Desktop,Chrome,NDF,972779
08i26877bh,02/11/2014,-unknown-,36.5,basic,es,direct,direct,untracked,Web,Mac Desktop,Chrome,NDF,473755
08kx4pqoih,01/02/2014,MALE,50,basic,en,direct,direct,untracked,Web,iPad,Mobile Safari,other,48225
08qr6g2rsd,02/06/2014,-unknown-,28,basic,en,direct,direct,untracked,Moweb,iPhone,Mobile Safari,US,
08tzorh0bp,01/16/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Web,Android Tablet,IE,NDF,2836521
08upsqg4uv,01/25/2014,FEMALE,51,facebook,en,sem-brand,google,omg,Web,iPad,Mobile Safari,FR,616306
08vbg0ebcq,01/25/2014,MALE,26,basic,en,direct,direct,untracked,Web,Windows Desktop,Firefox,US,867970
0900278qas,01/16/2014,MALE,35,basic,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US,853865
09305vitud,01/03/2014,MALE,27,basic,en,direct,direct,linked,Web,Desktop (Other),Chrome,other,7363953
095jwlhw61,01/22/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Web,Windows Desktop,Firefox,NDF,433016
0971ydcr3o,02/02/2014,MALE,41,facebook,zh,sem-brand,google,omg,Web,iPad,Mobile Safari,NDF,1718211
099n90vunc,02/11/2014,FEMALE,46,facebook,en,seo,google,linked,Web,iPad,Mobile Safari,US,1222421
099pbqsgho,01/04/2014,FEMALE,50,basic,en,direct,direct,untracked,Web,Windows Desktop,Chrome,NDF,1747081
09at1lgyo9,01/24/2014,-unknown-,36.5,basic,en,sem-non-brand,google,omg,Web,Windows Desktop,IE,NDF,31646
09cwiavmqe,02/10/2014,FEMALE,27,facebook,en,direct,direct,untracked,Web,Windows Desktop,Chrome,NDF,632302
09dgwsr8s6,02/08/2014,-unknown-,48,basic,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US,3149215
09gqbz46wc,01/23/2014,FEMALE,34,basic,en,direct,direct,untracked,Web,Windows Desktop,Firefox,NDF,234821
09h105tth5,01/21/2014,MALE,22,facebook,en,sem-brand,google,omg,Web,Mac Desktop,Chrome,US,2544447
09myx3kzfp,01/25/2014,MALE,53,basic,en,sem-brand,google,omg,Web,Windows Desktop,IE,US,91304
09sffeo8ji,01/10/2014,-unknown-,36.5,basic,en,sem-non-brand,google,omg,Web,Mac Desktop,Safari,NDF,2005268
09sroumeof,01/04/2014,MALE,36.5,basic,en,direct,direct,linked,Web,Mac Desktop,Safari,NDF,4828870
09t0vkjf3n,02/15/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Web,Windows Desktop,Firefox,NDF,508462
09z46wr657,02/02/2014,-unknown-,54,basic,en,direct,direct,untracked,Web,iPad,Mobile Safari,NDF,304504
0a75kan8y6,01/05/2014,MALE,21,facebook,en,direct,direct,linked,Web,Mac Desktop,Safari,NDF,2595304
0a9u9rm1lm,02/15/2014,MALE,33,facebook,es,sem-non-brand,google,omg,Web,Windows Desktop,Maxthon,NDF,
0af0mo0heo,01/03/2014,-unknown-,36.5,basic,en,sem-non-brand,google,omg,Web,Mac Desktop,Chrome,NDF,1356717
0albgg7ke2,02/08/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US,456867
0ao1k7kj1t,01/20/2014,FEMALE,38,basic,en,direct,direct,untracked,Web,Android Tablet,IE,FR,16147
0aqv44zp06,02/11/2014,-unknown-,36.5,basic,en,content,google,untracked,Web,Mac Desktop,Firefox,NDF,2157360
0ar0xi9ujt,01/22/2014,FEMALE,27,basic,en,direct,direct,linked,Web,Mac Desktop,Chrome,US,772708
0arv4l3bvf,01/23/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Web,Mac Desktop,Safari,NDF,52578
0aukjozmpu,02/04/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Web,iPad,Mobile Safari,NDF,271346
0awc3ykd6e,02/14/2014,MALE,31,facebook,en,sem-brand,google,omg,Web,Windows Desktop,Chrome,US,2895599
0axhxz1wuv,01/06/2014,FEMALE,29,basic,en,other,other,linked,Web,iPad,Mobile Safari,US,1339490
0aym663pk7,01/26/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Web,Mac Desktop,Chrome,NDF,1365715
0azgtb0w3a,01/24/2014,MALE,28,basic,en,direct,direct,omg,Web,Windows Desktop,IE,NDF,1728899
0b0b7qtpjn,02/13/2014,MALE,38,facebook,en,direct,direct,linked,Web,Mac Desktop,Safari,US,575203
0b0lzqb3yt,01/06/2014,-unknown-,36.5,basic,en,sem-brand,google,omg,Web,Mac Desktop,Safari,NDF,6083
0b9fwu47b8,01/26/2014,MALE,44,basic,en,direct,direct,linked,Web,Android Tablet,IE,NDF,1762465
0batyyvsfs,01/10/2014,-unknown-,62,basic,en,direct,direct,untracked,Web,Mac Desktop,Safari,US,613922
0bc4eiqd0u,01/15/2014,-unknown-,36.5,basic,en,sem-brand,google,omg,Web,Windows Desktop,Firefox,NDF,3551490
0bf0roqtbv,01/06/2014,-unknown-,36.5,basic,en,sem-brand,google,omg,Web,Mac Desktop,Safari,NDF,1099983
0bhmx7bp62,02/16/2014,-unknown-,36.5,basic,en,sem-brand,google,omg,Web,Mac Desktop,Safari,NDF,1158110
0bijp49oaj,02/04/2014,MALE,48,basic,en,sem-brand,google,omg,Web,Mac Desktop,Firefox,other,5002717
0blfsvahxp,01/07/2014,-unknown-,36,basic,en,direct,direct,untracked,Web,Android Tablet,IE,NDF,1259279
0bo299uzoz,02/04/2014,-unknown-,36.5,basic,en,direct,direct,linked,Web,Mac Desktop,Safari,NDF,352797
0brf3dke01,02/02/2014,-unknown-,36.5,basic,en,other,other,omg,Web,Windows Desktop,Chrome,NDF,1079300
0bt72fmceb,01/14/2014,-unknown-,31,basic,en,other,other,untracked,Web,Mac Desktop,Chrome,NDF,546602
0bzjkyokmt,02/08/2014,FEMALE,56,basic,en,sem-brand,google,omg,Web,Windows Desktop,IE,US,1001158
0c1qb6rqpo,01/19/2014,-unknown-,36.5,basic,en,direct,direct,linked,Web,iPad,Mobile Safari,NDF,5176922
0c4urlhpei,01/15/2014,-unknown-,36.5,basic,en,sem-non-brand,bing,omg,Web,Windows Desktop,IE,NDF,2299429
0c6h5dqzoo,01/31/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Web,Mac Desktop,Safari,CA,414631
0cbp0in9ew,01/26/2014,MALE,32,facebook,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US,1327456
0cef55zmjj,01/07/2014,FEMALE,44,basic,en,direct,direct,linked,Web,iPad,Mobile Safari,NDF,244409
0cei6w8np0,02/09/2014,-unknown-,36.5,basic,en,direct,direct,untracked,iOS,iPhone,-unknown-,NDF,818185
0chwruxivl,01/07/2014,FEMALE,29,basic,en,sem-brand,google,omg,Web,Windows Desktop,Chrome,NDF,3686245
0cjfnw7xn2,02/05/2014,FEMALE,39,basic,en,direct,direct,omg,Web,Mac Desktop,Safari,US,1056045
0ck0fdzw12,02/10/2014,FEMALE,23,facebook,en,direct,direct,untracked,Web,Mac Desktop,Chrome,IT,2134406
0ckn1p1t1h,01/15/2014,-unknown-,36.5,basic,en,direct,direct,linked,Web,Mac Desktop,Chrome,US,138796
0cqesmfcs0,01/25/2014,-unknown-,36.5,basic,en,sem-brand,google,linked,Web,Windows Desktop,Firefox,NDF,191660
0crr2a1uw1,02/14/2014,-unknown-,36.5,basic,en,direct,direct,omg,Web,Mac Desktop,Safari,NDF,648
0cue8owzif,02/12/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Web,Windows Desktop,Firefox,NDF,1556665
0cv1wj6wd5,01/11/2014,-unknown-,36.5,basic,en,direct,direct,omg,Web,Mac Desktop,Safari,NDF,556036
0cw5x0x9wh,01/19/2014,-unknown-,36.5,basic,en,direct,direct,linked,Web,Windows Desktop,Firefox,US,1396441
0cyihyw891,01/06/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Web,Mac Desktop,Safari,GB,859611
0d07b01gfn,01/09/2014,-unknown-,36.5,basic,en,sem-non-brand,google,linked,Web,Mac Desktop,Safari,NDF,477582
0d5vybwfbk,01/27/2014,FEMALE,38,facebook,en,sem-brand,google,untracked,Web,Windows Desktop,IE,US,1048516
0d7cfa72ml,01/31/2014,-unknown-,36.5,basic,en,sem-brand,google,omg,Web,Mac Desktop,Safari,NDF,2566337
0d811bmhzf,01/28/2014,FEMALE,35,facebook,en,direct,direct,untracked,Web,Mac Desktop,Safari,NDF,1473353
0d8epmiqjt,02/16/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Web,Windows Desktop,Firefox,US,2625767
0de25mri9t,02/03/2014,FEMALE,31,facebook,en,remarketing,google,untracked,Web,Mac Desktop,Safari,FR,1367682
0dl6vmi4jx,02/05/2014,FEMALE,35,basic,en,direct,direct,untracked,Web,Mac Desktop,Safari,US,3043921
0dp4ftxf2i,01/05/2014,-unknown-,36.5,basic,en,direct,direct,linked,Web,Mac Desktop,Safari,NDF,607658
0drplnhpnx,01/28/2014,-unknown-,36.5,basic,en,direct,direct,omg,Web,Mac Desktop,Safari,IT,3424157
0dry9kp4t5,02/12/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Web,Windows Desktop,IE,NDF,323
0dwtsmbzqq,01/31/2014,FEMALE,25,facebook,en,seo,google,linked,Web,Windows Desktop,Chrome,NDF,14364
0e09pv00ip,01/21/2014,MALE,30,facebook,en,direct,direct,linked,Web,Windows Desktop,Chrome,NDF,890198
0e0p6zwcmq,02/13/2014,-unknown-,36.5,basic,en,seo,google,linked,Web,Mac Desktop,Chrome,NDF,741629
0e4xse7kuh,01/21/2014,MALE,37,facebook,en,direct,direct,untracked,Web,Mac Desktop,Chrome,NDF,9476
0e7o7b62am,01/15/2014,-unknown-,36.5,basic,en,sem-non-brand,google,omg,Web,iPad,Mobile Safari,NDF,1721763
0e9rascg0c,01/01/2014,-unknown-,36.5,basic,zh,direct,direct,untracked,Web,Windows Desktop,IE,US,238085
0eecr06fpy,02/12/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Web,Windows Desktop,Chrome,NDF,78407
0ejjsbt0mj,01/30/2014,-unknown-,36.5,basic,en,seo,google,linked,Web,Windows Desktop,Chrome,NDF,2293413
0ev18cvshw,01/13/2014,FEMALE,41,facebook,en,direct,direct,untracked,Web,Windows Desktop,Chrome,IT,113901
0ezjo8qfyq,01/23/2014,-unknown-,36.5,basic,en,direct,direct,linked,Web,Windows Desktop,Chrome,NDF,579419
0f2kmfxlj0,01/21/2014,FEMALE,39,basic,en,direct,direct,linked,Web,Windows Desktop,IE,US,15539
0f3759bc76,01/30/2014,-unknown-,36.5,basic,en,api,other,untracked,Android,Other/Unknown,-unknown-,NDF,134947
0f3q9q00qu,01/24/2014,MALE,35,basic,en,direct,direct,linked,Web,Mac Desktop,Firefox,US,1460929
0f5ljbs9q9,01/15/2014,-unknown-,23,basic,en,direct,direct,untracked,Web,Mac Desktop,Safari,ES,86090
0f5nkcnnmu,01/16/2014,-unknown-,43,basic,en,sem-brand,google,linked,Web,Mac Desktop,Safari,other,951503
0f69ebol95,01/24/2014,MALE,31,basic,en,seo,facebook,linked,Web,Windows Desktop,Firefox,other,949575
0ffhi0fkyc,01/15/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Android,Other/Unknown,-unknown-,NDF,1693550
0fmygvzjhf,01/03/2014,-unknown-,36.5,basic,pt,direct,direct,linked,Web,Windows Desktop,Chrome,NDF,744107
0fs8zmuud5,02/13/2014,MALE,45,facebook,en,direct,direct,untracked,Web,Windows Desktop,Chrome,NDF,296499
0g0gb6e834,01/21/2014,-unknown-,36.5,basic,en,seo,google,linked,Web,Windows Desktop,Chrome,NDF,1526776
0g1n50ntpd,02/01/2014,-unknown-,36.5,basic,en,sem-brand,google,untracked,Web,Mac Desktop,Safari,US,647431
0g2xq4m20f,01/20/2014,-unknown-,36.5,basic,en,direct,direct,omg,Web,Mac Desktop,Safari,NDF,3040380
0g7619ussj,01/20/2014,-unknown-,36.5,basic,en,direct,direct,omg,Web,Mac Desktop,Chrome,NDF,3999
0g7bumb84f,02/05/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Web,Mac Desktop,Safari,NDF,1118865
0ga4gtih13,01/17/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Web,Windows Desktop,IE,NDF,38747
0ga98czgu4,01/22/2014,-unknown-,36.5,basic,en,direct,direct,linked,Web,Windows Desktop,IE,NDF,1868695
0geneqm9vs,02/01/2014,FEMALE,40,facebook,en,api,other,untracked,iOS,iPad,Mobile Safari,NDF,504
0gjypmsbpa,02/12/2014,-unknown-,36.5,basic,en,sem-brand,google,omg,Web,Windows Desktop,Chrome,ES,7590506
0gm2mbaeiz,01/12/2014,MALE,37,facebook,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US,676765
0gohm8ykij,01/13/2014,-unknown-,36.5,basic,en,seo,facebook,linked,Web,Mac Desktop,Safari,US,195388
0gpidrdm9h,02/01/2014,-unknown-,36.5,basic,en,direct,direct,linked,Web,Mac Desktop,Safari,US,824617
0gpmrcm8y8,02/04/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Web,Windows Desktop,IE,NDF,624701
0gtpdlq0e2,01/20/2014,FEMALE,27,basic,en,seo,facebook,untracked,Web,Mac Desktop,Safari,US,5060
0gu4b6syyt,01/29/2014,MALE,31,basic,en,direct,direct,linked,Web,Mac Desktop,Firefox,NDF,2014793
0gwnjqum9m,01/02/2014,MALE,27,facebook,en,api,other,untracked,iOS,iPhone,Mobile Safari,AU,898344
0gyxhfpm4o,02/04/2014,-unknown-,38,basic,en,sem-brand,google,linked,Web,Windows Desktop,IE,GB,517355
0gz2ojpnx4,01/28/2014,-unknown-,39,basic,en,direct,direct,linked,Web,iPad,Mobile Safari,US,1310718
0h215ef2b7,02/12/2014,-unknown-,29,basic,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US,74367
0h5gee5ywk,01/12/2014,FEMALE,46,basic,en,direct,direct,omg,Web,Mac Desktop,Safari,US,417082
0h8lhey944,01/19/2014,MALE,55,basic,en,direct,direct,untracked,Web,Windows Desktop,Safari,NDF,15184400
0ham51wipt,02/08/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Web,Mac Desktop,Chrome,NDF,1861665
0hcuuelxtg,01/17/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Web,Windows Desktop,Firefox,NDF,4540261
0hd0eohy12,01/05/2014,-unknown-,34,basic,en,direct,direct,untracked,Web,Windows Desktop,Firefox,US,2955694
0hdag3o95q,02/13/2014,FEMALE,38,facebook,en,direct,direct,linked,Web,Mac Desktop,Safari,US,536851
0he4zj6e3k,01/14/2014,FEMALE,25,basic,en,direct,direct,untracked,Web,iPad,Mobile Safari,US,842584
0hff3jklnq,01/17/2014,-unknown-,36.5,basic,en,direct,direct,untracked,iOS,iPhone,-unknown-,NDF,183
0hiz56zwb3,01/03/2014,MALE,30,facebook,en,api,other,untracked,iOS,Mac Desktop,Chrome,US,1001122
0hlvffb8nu,01/16/2014,-unknown-,37,basic,en,direct,direct,untracked,Web,Mac Desktop,Firefox,US,1851405
0hs43eb23m,01/27/2014,FEMALE,25,basic,en,direct,direct,untracked,Moweb,Windows Desktop,Chrome,US,584836
0i0hh7u20x,02/16/2014,FEMALE,30,facebook,en,api,other,untracked,Android,Other/Unknown,-unknown-,NDF,36903
0i1e4dtrw9,02/05/2014,-unknown-,36.5,basic,en,direct,direct,linked,Web,Windows Desktop,Firefox,NDF,2382
0i3tezq08s,02/13/2014,-unknown-,36.5,basic,en,sem-non-brand,vast,omg,Web,Mac Desktop,Firefox,NDF,478
0i8gub49h9,02/09/2014,MALE,31,basic,en,direct,direct,omg,Moweb,iPad,Mobile Safari,NDF,1142539
0i96ktlopm,01/15/2014,FEMALE,36,basic,en,direct,direct,linked,Web,Mac Desktop,Safari,NDF,103542
0icc1mbn55,01/10/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Web,Windows Desktop,Chrome,NDF,135063
0ie8x9w5o7,01/19/2014,MALE,26,facebook,en,direct,direct,untracked,Web,Mac Desktop,Chrome,NDF,4777
0ieskdnu1x,01/15/2014,MALE,28,facebook,en,api,other,linked,iOS,Mac Desktop,Chrome,NDF,601
0in3rn9e8z,01/10/2014,-unknown-,36.5,basic,en,sem-brand,google,omg,Web,Windows Desktop,Chrome,US,803006
0iumt4h1qj,01/18/2014,-unknown-,32,basic,en,direct,direct,linked,Web,Mac Desktop,Safari,other,2407362
0ix5rzzpy2,02/07/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Web,Mac Desktop,Firefox,NDF,214354
0j33fp32up,01/16/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Web,Mac Desktop,Firefox,US,409737
0j3jw53lp2,01/17/2014,-unknown-,37,basic,en,other,other,marketing,Web,Windows Desktop,Chrome,US,14837
0j5slwvqd4,01/20/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Web,Mac Desktop,Chrome,NDF,471247
0j753q0f3d,01/20/2014,FEMALE,23,basic,sv,sem-non-brand,google,omg,Web,Windows Desktop,Chrome,NDF,17653
